,player_type,count,skull_threshold
1,"smart 2: 0, 0.4",173,0.5656565656565657
2,"smart 2: 0, 0.6",231,0.5656565656565657
3,"smart 2: 2, 0.6",267,0.5656565656565657
0,approx q learning,338,0.5757575757575758
1,"smart 2: 0, 0.4",153,0.5757575757575758
2,"smart 2: 0, 0.6",216,0.5757575757575758
3,"smart 2: 2, 0.6",293,0.5757575757575758
0,approx q learning,334,0.5858585858585859
1,"smart 2: 0, 0.4",159,0.5858585858585859
2,"smart 2: 0, 0.6",239,0.5858585858585859
3,"smart 2: 2, 0.6",268,0.5858585858585859
0,approx q learning,320,0.595959595959596
1,"smart 2: 0, 0.4",146,0.595959595959596
2,"smart 2: 0, 0.6",242,0.595959595959596
3,"smart 2: 2, 0.6",292,0.595959595959596
0,approx q learning,320,0.6060606060606061
1,"smart 2: 0, 0.4",162,0.6060606060606061
2,"smart 2: 0, 0.6",230,0.6060606060606061
3,"smart 2: 2, 0.6",288,0.6060606060606061
0,approx q learning,301,0.6161616161616162
1,"smart 2: 0, 0.4",188,0.6161616161616162
2,"smart 2: 0, 0.6",253,0.6161616161616162
3,"smart 2: 2, 0.6",258,0.6161616161616162
0,approx q learning,320,0.6262626262626263
1,"smart 2: 0, 0.4",163,0.6262626262626263
2,"smart 2: 0, 0.6",246,0.6262626262626263
3,"smart 2: 2, 0.6",271,0.6262626262626263
0,approx q learning,328,0.6363636363636365
1,"smart 2: 0, 0.4",162,0.6363636363636365
2,"smart 2: 0, 0.6",231,0.6363636363636365
3,"smart 2: 2, 0.6",279,0.6363636363636365
0,approx q learning,306,0.6464646464646465
1,"smart 2: 0, 0.4",163,0.6464646464646465
2,"smart 2: 0, 0.6",228,0.6464646464646465
3,"smart 2: 2, 0.6",303,0.6464646464646465
0,approx q learning,311,0.6565656565656566
1,"smart 2: 0, 0.4",184,0.6565656565656566
2,"smart 2: 0, 0.6",237,0.6565656565656566
3,"smart 2: 2, 0.6",268,0.6565656565656566
0,approx q learning,328,0.6666666666666667
1,"smart 2: 0, 0.4",145,0.6666666666666667
2,"smart 2: 0, 0.6",243,0.6666666666666667
3,"smart 2: 2, 0.6",284,0.6666666666666667
0,approx q learning,304,0.6767676767676768
1,"smart 2: 0, 0.4",157,0.6767676767676768
2,"smart 2: 0, 0.6",266,0.6767676767676768
3,"smart 2: 2, 0.6",273,0.6767676767676768
0,approx q learning,298,0.686868686868687
1,"smart 2: 0, 0.4",161,0.686868686868687
2,"smart 2: 0, 0.6",231,0.686868686868687
3,"smart 2: 2, 0.6",310,0.686868686868687
0,approx q learning,268,0.696969696969697
1,"smart 2: 0, 0.4",170,0.696969696969697
2,"smart 2: 0, 0.6",255,0.696969696969697
3,"smart 2: 2, 0.6",307,0.696969696969697
0,approx q learning,276,0.7070707070707072
1,"smart 2: 0, 0.4",184,0.7070707070707072
2,"smart 2: 0, 0.6",232,0.7070707070707072
3,"smart 2: 2, 0.6",308,0.7070707070707072
0,approx q learning,40,0.7171717171717172
1,"smart 2: 0, 0.4",244,0.7171717171717172
2,"smart 2: 0, 0.6",321,0.7171717171717172
3,"smart 2: 2, 0.6",395,0.7171717171717172
0,approx q learning,257,0.7272727272727273
1,"smart 2: 0, 0.4",172,0.7272727272727273
2,"smart 2: 0, 0.6",255,0.7272727272727273
3,"smart 2: 2, 0.6",316,0.7272727272727273
0,approx q learning,264,0.7373737373737375
1,"smart 2: 0, 0.4",185,0.7373737373737375
2,"smart 2: 0, 0.6",231,0.7373737373737375
