,player_type,player,result
432,rand,2,win via score
433,rand,2,win via score
434,rand,2,win via score
435,nice,0,win via score
436,nice,0,win via score
437,rand,2,win via score
438,rand,2,win via score
439,rand,2,win via score
440,nice,0,win via score
441,nice,0,win via score
442,rand,2,win via score
443,rand,3,win via score
444,nice,0,win via score
445,rand,3,win via score
446,rand,3,win via score
447,rand,3,win via score
448,nice,0,win via score
449,rand,3,win via score
450,rand,2,win via score
451,nice,0,win via score
452,rand,2,win via score
453,rand,2,win via score
454,nice,0,win via score
455,rand,3,win via score
456,rand,3,win via score
457,nice,0,win via score
458,rand,3,win via score
459,rand,2,win via score
460,nice,0,win via score
461,rand,2,win via score
462,nice,0,win via score
463,nice,0,win via score
464,rand,2,win via score
465,nice,0,win via score
466,rand,2,win via score
467,nice,0,win via score
468,nice,0,win via score
469,rand,3,win via score
470,nice,0,win via score
471,rand,2,win via score
472,nice,0,win via score
473,nice,0,win via score
474,rand,2,win via score
475,rand,3,win via score
476,nice,0,win via score
477,nice,0,win via score
478,nice,0,win via score
479,nice,0,win via score
480,nice,0,win via score
481,nice,0,win via score
482,nice,0,win via score
483,nice,0,win via score
484,rand,2,win via score
485,rand,2,win via score
486,nice,0,win via score
487,rand,2,win via score
488,nice,0,win via score
489,nice,0,win via score
490,rand,3,win via score
491,nice,0,win via score
492,nice,0,win via score
493,nice,0,win via score
494,rand,2,win via score
495,rand,3,win via score
496,nice,0,win via score
497,rand,3,win via score
498,nice,0,win via score
499,nice,0,win via score
500,nice,0,win via score
501,nice,0,win via score
502,nice,0,win via score
503,rand,3,win via score
504,rand,2,win via score
505,rand,2,win via score
506,nice,0,win via score
507,nice,0,win via score
508,nice,0,win via score
509,nice,0,win via score
510,nice,0,win via score
511,nice,0,win via score
512,nice,0,win via score
513,nice,0,win via score
514,rand,2,win via score
515,nice,0,win via score
516,rand,3,win via score
517,rand,3,win via score
518,nice,0,win via score
519,rand,3,win via score
520,rand,3,win via score
521,rand,3,win via score
522,nice,0,win via score
523,rand,3,win via score
524,rand,2,win via score
525,nice,0,win via score
526,nice,0,win via score
527,nice,0,win via score
528,nice,0,win via score
529,nice,0,win via score
530,nice,0,win via score
531,nice,0,win via score
532,nice,0,win via score
533,rand,3,win via score
534,rand,2,win via score
535,nice,0,win via score
536,nice,0,win via score
537,rand,3,win via score
538,rand,2,win via score
539,rand,2,win via score
540,rand,2,win via score
541,rand,2,win via score
542,nice,0,win via score
543,rand,3,win via score
544,rand,2,win via score
545,nice,0,win via score
546,nice,0,win via score
547,nice,0,win via score
548,nice,0,win via score
549,rand,3,win via score
550,nice,0,win via score
551,rand,3,win via score
552,rand,2,win via score
553,rand,3,win via score
554,rand,2,win via score
555,rand,3,win via score
556,nice,0,win via score
557,rand,3,win via score
558,rand,2,win via score
559,rand,3,win via score
560,nice,0,win via score
561,nice,0,win via score
562,rand,2,win via score
563,rand,3,win via score
564,rand,3,win via score
565,nice,0,win via score
566,nice,0,win via score
567,rand,3,win via score
568,rand,2,win via score
569,rand,2,win via score
570,rand,3,win via score
571,nice,0,win via score
572,nice,0,win via score
573,nice,0,win via score
574,nice,0,win via score
575,nice,0,win via score
576,nice,0,win via score
577,nice,0,win via score
578,nice,0,win via score
579,nice,0,win via score
580,nice,0,win via score
581,rand,3,win via score
582,nice,0,win via score
583,rand,2,win via score
584,nice,0,win via score
585,nice,0,win via score
586,rand,2,win via score
587,rand,2,win via score
588,rand,2,win via score
589,rand,2,win via score
590,nice,0,win via score
591,rand,2,win via score
592,rand,3,win via score
593,nice,0,win via score
594,nice,0,win via score
595,nice,0,win via score
596,nice,0,win via score
597,nice,0,win via score
598,nice,0,win via score
599,rand,3,win via score
600,nice,0,win via score
601,nice,0,win via score
602,rand,3,win via score
603,nice,0,win via score
604,rand,3,win via score
605,rand,3,win via score
606,nice,0,win via score
607,nice,0,win via score
608,nice,0,win via score
609,nice,0,win via score
610,nice,0,win via score
611,nice,0,win via score
612,nice,0,win via score
613,nice,0,win via score
614,rand,3,win via score
615,rand,3,win via score
616,nice,0,win via score
617,nice,0,win via score
618,nice,0,win via score
619,nice,0,win via score
620,rand,2,win via score
621,nice,0,win via score
622,rand,2,win via score
623,rand,3,win via score
624,rand,2,win via score
625,nice,0,win via score
626,nice,0,win via score
627,nice,0,win via score
628,nice,0,win via score
629,nice,0,win via score
630,rand,3,win via score
631,rand,2,win via score
632,nice,0,win via score
633,rand,3,win via score
634,mean,1,win via elim
635,nice,0,win via score
636,nice,0,win via score
637,rand,2,win via score
638,nice,0,win via score
639,rand,2,win via score
640,nice,0,win via score
641,rand,2,win via score
642,nice,0,win via score
643,nice,0,win via score
644,nice,0,win via score
645,rand,2,win via score
646,rand,2,win via score
647,nice,0,win via score
648,rand,2,win via score
649,nice,0,win via score
650,rand,2,win via score
651,rand,3,win via score
652,nice,0,win via score
653,nice,0,win via score
654,rand,2,win via score
655,nice,0,win via score
656,rand,2,win via score
657,nice,0,win via score
658,rand,3,win via score
659,nice,0,win via score
660,rand,2,win via score
661,nice,0,win via score
662,rand,2,win via score
663,rand,3,win via score
664,nice,0,win via score
665,rand,2,win via score
666,mean,1,win via elim
667,nice,0,win via score
668,nice,0,win via score
669,rand,3,win via score
670,rand,2,win via score
671,rand,2,win via score
672,rand,3,win via score
673,rand,2,win via score
674,nice,0,win via score
675,nice,0,win via score
676,nice,0,win via score
677,rand,3,win via score
678,nice,0,win via score
