,player_type,player,result
385,nice,0,win via score
386,nice,0,win via score
387,nice,0,win via score
388,rand,3,win via score
389,rand,3,win via score
390,rand,2,win via score
391,rand,2,win via score
392,rand,2,win via score
393,rand,1,win via score
394,nice,0,win via score
395,rand,2,win via score
396,rand,1,win via score
397,nice,0,win via score
398,nice,0,win via score
399,rand,1,win via score
400,nice,0,win via score
401,nice,0,win via score
402,nice,0,win via score
403,rand,3,win via score
404,rand,3,win via score
405,nice,0,win via score
406,rand,3,win via score
407,rand,1,win via score
408,rand,2,win via score
409,nice,0,win via score
410,rand,2,win via elim
411,nice,0,win via score
412,nice,0,win via score
413,nice,0,win via score
414,nice,0,win via score
415,nice,0,win via score
416,rand,1,win via score
417,nice,0,win via score
418,nice,0,win via score
419,nice,0,win via score
420,nice,0,win via score
421,rand,3,win via score
422,rand,2,win via score
423,rand,3,win via score
424,rand,1,win via score
425,nice,0,win via score
426,nice,0,win via score
427,nice,0,win via score
428,rand,3,win via elim
429,rand,2,win via score
430,rand,1,win via score
431,nice,0,win via score
432,nice,0,win via score
433,nice,0,win via score
434,rand,2,win via elim
435,rand,1,win via score
436,rand,1,win via score
437,rand,1,win via score
438,nice,0,win via score
439,rand,2,win via score
440,rand,1,win via score
441,nice,0,win via score
442,rand,1,win via score
443,rand,1,win via score
444,rand,3,win via score
445,nice,0,win via score
446,rand,1,win via score
447,rand,2,win via score
448,nice,0,win via score
449,rand,2,win via score
450,nice,0,win via score
451,rand,1,win via score
452,rand,3,win via score
453,rand,2,win via score
454,nice,0,win via score
455,rand,3,win via score
456,rand,1,win via score
457,rand,2,win via score
458,rand,2,win via score
459,nice,0,win via score
460,rand,3,win via score
461,rand,3,win via score
462,rand,1,win via score
463,nice,0,win via score
464,rand,2,win via score
465,rand,3,win via score
466,nice,0,win via score
467,nice,0,win via score
468,rand,2,win via score
469,nice,0,win via score
470,rand,1,win via score
471,rand,1,win via score
472,nice,0,win via score
473,rand,2,win via elim
474,rand,1,win via score
475,rand,3,win via score
476,nice,0,win via score
477,rand,1,win via score
478,rand,2,win via score
479,rand,2,win via score
480,nice,0,win via score
481,rand,1,win via score
482,rand,2,win via score
483,rand,2,win via score
484,nice,0,win via score
485,nice,0,win via score
486,nice,0,win via score
487,rand,1,win via score
488,nice,0,win via score
489,rand,3,win via score
490,nice,0,win via score
491,nice,0,win via score
492,nice,0,win via score
493,nice,0,win via score
494,rand,1,win via score
495,nice,0,win via score
496,rand,1,win via score
497,rand,1,win via score
498,rand,2,win via score
499,nice,0,win via score
500,rand,3,win via score
501,rand,1,win via score
502,nice,0,win via score
503,rand,1,win via score
504,rand,1,win via score
505,rand,3,win via score
506,rand,2,win via score
507,rand,1,win via score
508,rand,1,win via score
509,nice,0,win via score
510,rand,1,win via score
511,rand,1,win via score
512,nice,0,win via score
513,rand,3,win via elim
514,rand,3,win via score
515,nice,0,win via score
516,rand,1,win via score
517,rand,3,win via score
518,rand,1,win via score
519,rand,3,win via score
520,rand,1,win via score
521,rand,2,win via score
522,nice,0,win via score
523,rand,1,win via score
524,nice,0,win via score
525,rand,1,win via score
526,rand,2,win via elim
527,nice,0,win via score
528,nice,0,win via score
529,rand,1,win via score
530,rand,1,win via score
531,nice,0,win via score
532,rand,1,win via score
533,rand,3,win via score
534,rand,1,win via score
535,rand,2,win via score
536,rand,3,win via score
537,nice,0,win via score
538,nice,0,win via score
539,nice,0,win via score
540,rand,3,win via score
541,nice,0,win via score
542,rand,3,win via score
543,rand,2,win via score
544,nice,0,win via score
545,nice,0,win via score
546,nice,0,win via score
547,rand,3,win via score
548,nice,0,win via score
549,nice,0,win via score
550,rand,1,win via score
551,rand,1,win via score
552,rand,1,win via score
553,rand,2,win via score
554,nice,0,win via score
555,rand,3,win via score
556,rand,2,win via score
557,rand,1,win via score
558,rand,2,win via score
559,nice,0,win via score
560,rand,1,win via score
