,player_type,player,result
203,"smart: 0.5, 0.6",2,win via score
204,"smart: 0.5, 0.6",1,win via elim
205,"smart: 0.5, 0.6",1,win via score
206,"smart: 0.5, 0.6",2,win via score
207,"smart: 0.5, 0.6",3,win via score
208,"smart: 0.5, 0.6",0,win via score
209,"smart: 0.5, 0.6",0,win via score
210,"smart: 0.5, 0.6",0,win via score
211,"smart: 0.5, 0.6",2,win via score
212,"smart: 0.5, 0.6",0,win via score
213,"smart: 0.5, 0.6",0,win via score
214,"smart: 0.5, 0.6",0,win via score
215,"smart: 0.5, 0.6",0,win via score
216,"smart: 0.5, 0.6",1,win via score
217,"smart: 0.5, 0.6",0,win via score
218,"smart: 0.5, 0.6",2,win via score
219,"smart: 0.5, 0.6",0,win via score
220,"smart: 0.5, 0.6",2,win via score
221,"smart: 0.5, 0.6",2,win via score
222,"smart: 0.5, 0.6",3,win via score
223,"smart: 0.5, 0.6",2,win via score
224,"smart: 0.5, 0.6",3,win via score
225,"smart: 0.5, 0.6",2,win via score
226,"smart: 0.5, 0.6",1,win via score
227,"smart: 0.5, 0.6",2,win via score
228,"smart: 0.5, 0.6",1,win via score
229,"smart: 0.5, 0.6",0,win via score
230,"smart: 0.5, 0.6",2,win via score
231,"smart: 0.5, 0.6",1,win via score
232,"smart: 0.5, 0.6",2,win via score
233,"smart: 0.5, 0.6",1,win via score
234,"smart: 0.5, 0.6",0,win via score
235,"smart: 0.5, 0.6",3,win via score
236,"smart: 0.5, 0.6",2,win via score
237,"smart: 0.5, 0.6",2,win via score
238,"smart: 0.5, 0.6",2,win via score
239,"smart: 0.5, 0.6",2,win via score
240,"smart: 0.5, 0.6",2,win via score
241,"smart: 0.5, 0.6",3,win via score
242,"smart: 0.5, 0.6",0,win via score
243,"smart: 0.5, 0.6",0,win via score
244,"smart: 0.5, 0.6",3,win via score
245,"smart: 0.5, 0.6",1,win via score
246,"smart: 0.5, 0.6",2,win via elim
247,"smart: 0.5, 0.6",0,win via score
248,"smart: 0.5, 0.6",3,win via elim
249,"smart: 0.5, 0.6",1,win via score
250,"smart: 0.5, 0.6",1,win via score
251,"smart: 0.5, 0.6",0,win via score
252,"smart: 0.5, 0.6",0,win via score
253,"smart: 0.5, 0.6",2,win via score
254,"smart: 0.5, 0.6",3,win via score
255,"smart: 0.5, 0.6",0,win via score
256,"smart: 0.5, 0.6",1,win via score
257,"smart: 0.5, 0.6",3,win via elim
258,"smart: 0.5, 0.6",1,win via score
259,"smart: 0.5, 0.6",0,win via score
260,"smart: 0.5, 0.6",2,win via score
261,"smart: 0.5, 0.6",1,win via score
262,"smart: 0.5, 0.6",2,win via score
263,"smart: 0.5, 0.6",0,win via score
264,"smart: 0.5, 0.6",0,win via score
265,"smart: 0.5, 0.6",0,win via score
266,"smart: 0.5, 0.6",3,win via score
267,"smart: 0.5, 0.6",3,win via score
268,"smart: 0.5, 0.6",0,win via score
269,"smart: 0.5, 0.6",2,win via score
270,"smart: 0.5, 0.6",3,win via score
271,"smart: 0.5, 0.6",1,win via score
272,"smart: 0.5, 0.6",2,win via elim
