,player,result
525,0,win via score
526,1,win via score
527,1,win via score
528,0,win via score
529,1,win via score
530,0,win via elim
531,1,win via score
532,2,win via score
533,3,win via score
534,3,win via score
535,0,win via score
536,3,win via score
537,2,win via score
538,1,win via score
539,3,win via score
540,3,win via score
541,1,win via score
542,1,win via score
543,1,win via score
544,0,win via score
545,1,win via score
546,0,win via score
547,1,win via score
548,1,win via score
549,3,win via score
550,0,win via score
551,2,win via score
552,2,win via score
553,3,win via score
554,2,win via score
555,2,win via score
556,3,win via elim
557,1,win via score
558,3,win via score
559,2,win via score
560,0,win via score
561,0,win via score
562,1,win via score
563,0,win via elim
564,1,win via score
565,3,win via score
566,1,win via score
567,1,win via score
568,3,win via elim
569,0,win via score
570,0,win via score
571,1,win via score
572,0,win via score
573,1,win via score
574,1,win via score
575,2,win via score
576,1,win via score
577,3,win via score
578,0,win via score
579,0,win via score
580,3,win via score
581,0,win via score
582,0,win via score
583,2,win via score
584,3,win via score
585,3,win via score
586,2,win via score
587,0,win via score
588,3,win via score
589,1,win via score
590,0,win via score
591,3,win via score
592,2,win via score
593,2,win via score
594,3,win via score
595,0,win via score
596,3,win via score
597,0,win via score
598,0,win via score
599,0,win via score
600,0,win via score
601,2,win via score
602,2,win via score
603,3,win via score
604,0,win via score
605,0,win via score
606,2,win via score
607,1,win via score
608,0,win via score
609,1,win via score
610,3,win via score
611,1,win via score
612,3,win via score
613,0,win via score
614,2,win via score
615,1,win via score
616,3,win via score
617,1,win via score
618,0,win via score
619,0,win via score
620,1,win via score
621,0,win via score
622,2,win via score
623,2,win via score
624,2,win via score
625,3,win via score
626,3,win via score
627,3,win via score
628,2,win via score
629,2,win via score
630,1,win via score
631,1,win via score
632,2,win via score
633,2,win via score
634,0,win via score
635,3,win via score
636,0,win via score
637,1,win via score
638,1,win via score
639,2,win via score
640,3,win via score
641,2,win via score
642,0,win via score
643,3,win via score
644,1,win via score
645,3,win via score
646,3,win via score
647,1,win via score
648,0,win via score
649,2,win via score
650,2,win via score
651,0,win via score
652,2,win via score
653,3,win via score
654,0,win via score
655,3,win via score
656,3,win via elim
657,2,win via score
658,0,win via score
659,3,win via score
660,0,win via score
661,1,win via score
662,2,win via score
663,1,win via score
664,1,win via score
665,0,win via score
666,2,win via score
667,3,win via score
668,3,win via score
669,2,win via score
670,2,win via score
671,3,win via elim
672,2,win via score
673,0,win via score
674,0,win via score
675,0,win via score
676,0,win via score
677,1,win via score
678,1,win via score
679,0,win via score
680,1,win via score
681,3,win via score
682,0,win via score
683,0,win via score
684,2,win via score
685,2,win via score
686,1,win via score
687,0,win via score
688,0,win via score
689,0,win via score
690,2,win via score
691,3,win via score
692,3,win via score
693,1,win via score
694,1,win via score
695,0,win via score
696,2,win via score
697,2,win via score
698,2,win via score
699,1,win via elim
700,1,win via score
701,1,win via score
702,1,win via score
703,2,win via score
704,1,win via score
705,0,win via elim
706,2,win via score
707,3,win via score
708,2,win via score
709,1,win via score
710,0,win via score
711,0,win via score
712,0,win via score
713,1,win via score
714,2,win via score
715,2,win via score
716,3,win via score
