,player,result
4912,0,win via score
4913,2,win via score
4914,3,win via score
4915,2,win via score
4916,3,win via score
4917,1,win via score
4918,1,win via score
4919,3,win via score
4920,2,win via score
4921,1,win via score
4922,3,win via score
4923,2,win via score
4924,1,win via score
4925,2,win via score
4926,1,win via score
4927,1,win via score
4928,2,win via score
4929,3,win via score
4930,3,win via score
4931,2,win via elim
4932,3,win via score
4933,1,win via score
4934,1,win via score
4935,3,win via elim
4936,1,win via score
4937,2,win via elim
4938,1,win via score
4939,0,win via score
4940,1,win via score
4941,0,win via score
4942,1,win via score
4943,2,win via score
4944,1,win via score
4945,1,win via score
4946,2,win via score
4947,1,win via score
4948,2,win via score
4949,2,win via score
4950,0,win via score
4951,1,win via score
4952,1,win via score
4953,2,win via score
4954,2,win via score
4955,1,win via score
4956,0,win via score
4957,1,win via score
4958,1,win via score
4959,3,win via score
4960,3,win via score
4961,0,win via score
4962,3,win via score
4963,0,win via score
4964,1,win via score
4965,3,win via score
4966,2,win via score
4967,1,win via score
4968,3,win via score
4969,0,win via score
4970,1,win via score
4971,2,win via score
4972,2,win via score
4973,0,win via score
4974,2,win via score
4975,0,win via score
4976,2,win via score
4977,0,win via score
4978,2,win via elim
4979,1,win via score
4980,1,win via score
4981,1,win via score
4982,0,win via score
4983,1,win via score
4984,1,win via score
4985,1,win via score
4986,0,win via score
4987,1,win via score
4988,2,win via score
4989,3,win via score
4990,1,win via score
4991,1,win via score
4992,1,win via score
4993,0,win via score
4994,1,win via score
4995,3,win via score
4996,3,win via score
4997,2,win via score
4998,2,win via score
4999,3,win via score
5000,0,win via score
5001,2,win via elim
5002,2,win via score
5003,3,win via score
5004,3,win via score
5005,0,win via score
5006,0,win via score
5007,0,win via score
5008,2,win via score
5009,1,win via score
5010,0,win via score
5011,3,win via score
5012,1,win via score
5013,1,win via score
5014,1,win via score
5015,0,win via elim
5016,1,win via score
5017,1,win via score
5018,0,win via score
5019,2,win via score
5020,0,win via score
5021,0,win via score
5022,1,win via score
5023,2,win via score
5024,3,win via score
5025,3,win via score
5026,0,win via score
5027,2,win via score
5028,1,win via score
5029,1,win via score
5030,0,win via score
5031,3,win via score
5032,0,win via score
5033,2,win via score
5034,0,win via score
5035,1,win via score
5036,1,win via score
5037,1,win via score
5038,2,win via elim
5039,1,win via score
5040,0,win via score
5041,1,win via score
5042,1,win via score
5043,1,win via score
5044,0,win via elim
5045,3,win via score
5046,2,win via score
5047,3,win via score
5048,3,win via score
5049,3,win via score
5050,1,win via score
5051,3,win via score
5052,3,win via score
5053,3,win via score
5054,3,win via score
5055,0,win via score
5056,0,win via score
5057,1,win via score
5058,3,win via score
5059,2,win via score
5060,1,win via score
5061,2,win via score
5062,3,win via score
5063,0,win via score
5064,1,win via score
5065,1,win via score
5066,3,win via score
5067,3,win via score
5068,1,win via score
5069,1,win via score
5070,3,win via score
5071,1,win via score
5072,2,win via score
5073,2,win via score
5074,1,win via score
5075,0,win via score
5076,1,win via score
5077,2,win via score
5078,2,win via score
5079,2,win via score
5080,3,win via score
5081,1,win via score
5082,1,win via score
5083,3,win via score
5084,0,win via score
5085,1,win via score
5086,0,win via score
5087,1,win via score
5088,2,win via elim
5089,0,win via score
5090,2,win via score
5091,3,win via score
5092,1,win via score
5093,2,win via elim
5094,0,win via score
5095,3,win via score
5096,0,win via score
5097,2,win via score
5098,2,win via score
5099,2,win via score
5100,0,win via elim
5101,1,win via score
5102,0,win via score
5103,3,win via score
5104,0,win via score
5105,1,win via score
5106,0,win via score
5107,0,win via score
5108,2,win via score
5109,2,win via score
5110,0,win via score
5111,0,win via score
5112,0,win via score
5113,3,win via score
5114,2,win via score
5115,3,win via score
5116,2,win via score
5117,1,win via score
5118,2,win via score
5119,2,win via score
5120,0,win via score
5121,1,win via score
5122,0,win via score
5123,1,win via score
5124,2,win via score
5125,1,win via score
5126,0,win via score
5127,3,win via score
5128,0,win via score
5129,3,win via score
5130,0,win via score
5131,0,win via score
5132,3,win via score
5133,1,win via score
5134,1,win via score
5135,0,win via score
5136,0,win via score
5137,3,win via score
5138,1,win via score
5139,1,win via score
5140,0,win via score
5141,2,win via score
5142,1,win via score
5143,0,win via score
5144,1,win via score
5145,0,win via score
5146,0,win via score
5147,0,win via score
5148,0,win via score
5149,0,win via score
5150,0,win via score
5151,1,win via score
5152,3,win via score
5153,1,win via score
5154,2,win via score
5155,3,win via elim
5156,1,win via score
5157,2,win via score
5158,1,win via score
5159,1,win via score
5160,0,win via score
5161,0,win via score
5162,3,win via score
5163,1,win via score
5164,3,win via score
5165,3,win via score
5166,0,win via score
5167,2,win via score
5168,2,win via score
5169,3,win via score
5170,3,win via score
5171,3,win via score
5172,1,win via score
5173,1,win via score
5174,1,win via score
5175,1,win via score
5176,2,win via score
5177,0,win via score
5178,3,win via score
5179,3,win via score
5180,0,win via score
5181,0,win via elim
5182,0,win via score
5183,2,win via score
5184,0,win via score
5185,3,win via score
5186,3,win via score
5187,3,win via score
5188,1,win via score
5189,1,win via score
5190,0,win via score
5191,2,win via score
5192,1,win via score
5193,0,win via score
5194,2,win via score
5195,1,win via score
5196,3,win via score
5197,2,win via elim
5198,1,win via elim
5199,3,win via score
5200,3,win via score
5201,3,win via score
5202,1,win via score
5203,2,win via score
5204,1,win via score
5205,3,win via score
5206,3,win via score
5207,1,win via score
5208,0,win via score
5209,2,win via score
5210,1,win via score
5211,0,win via score
5212,2,win via score
5213,2,win via score
5214,1,win via elim
5215,3,win via score
5216,0,win via score
5217,3,win via score
5218,3,win via score
5219,2,win via score
5220,3,win via elim
5221,2,win via score
5222,1,win via elim
5223,0,win via score
5224,0,win via score
5225,3,win via score
5226,0,win via score
5227,0,win via score
5228,0,win via score
5229,2,win via score
5230,2,win via score
5231,2,win via score
5232,0,win via score
5233,3,win via score
5234,2,win via score
5235,3,win via score
5236,2,win via score
5237,1,win via score
5238,1,win via score
5239,3,win via score
5240,0,win via score
5241,1,win via elim
5242,1,win via score
5243,0,win via score
5244,1,win via score
5245,2,win via score
5246,1,win via score
5247,3,win via score
5248,1,win via score
5249,1,win via score
5250,0,win via score
5251,0,win via score
5252,3,win via score
5253,3,win via score
5254,1,win via score
5255,2,win via score
5256,0,win via score
5257,3,win via score
5258,3,win via score
5259,2,win via elim
5260,3,win via score
5261,1,win via score
5262,0,win via score
5263,1,win via score
5264,3,win via score
5265,1,win via score
5266,2,win via score
5267,0,win via score
5268,3,win via score
5269,2,win via score
5270,2,win via score
5271,1,win via score
5272,0,win via score
5273,2,win via score
5274,2,win via score
5275,1,win via score
5276,2,win via score
5277,0,win via score
5278,1,win via score
5279,2,win via score
5280,1,win via score
5281,2,win via score
5282,3,win via score
5283,3,win via score
5284,0,win via score
5285,3,win via score
5286,3,win via score
5287,2,win via score
5288,0,win via score
5289,3,win via score
5290,3,win via score
5291,0,win via score
5292,1,win via score
5293,3,win via score
5294,2,win via score
5295,0,win via score
5296,0,win via score
5297,3,win via score
5298,0,win via score
5299,2,win via score
5300,2,win via score
5301,3,win via score
5302,0,win via score
5303,2,win via elim
5304,2,win via score
5305,1,win via score
5306,0,win via score
5307,2,win via score
5308,2,win via score
5309,3,win via score
5310,2,win via score
5311,1,win via score
5312,3,win via score
5313,2,win via score
5314,2,win via score
5315,1,win via score
5316,2,win via score
5317,0,win via score
5318,3,win via score
5319,0,win via score
5320,0,win via score
5321,2,win via score
5322,2,win via score
5323,1,win via score
5324,2,win via score
5325,1,win via score
5326,3,win via score
5327,3,win via score
5328,1,win via score
5329,0,win via elim
5330,1,win via score
5331,2,win via score
5332,0,win via score
5333,2,win via score
5334,1,win via score
5335,3,win via score
5336,1,win via score
5337,3,win via score
5338,1,win via score
5339,0,win via score
5340,1,win via score
5341,1,win via score
5342,2,win via score
5343,0,win via score
5344,2,win via score
5345,1,win via score
5346,3,win via score
5347,2,win via score
5348,0,win via score
5349,2,win via score
5350,1,win via score
5351,3,win via score
5352,1,win via score
5353,1,win via score
5354,0,win via score
5355,0,win via score
5356,3,win via score
5357,2,win via score
5358,1,win via score
5359,3,win via score
5360,3,win via score
5361,3,win via score
5362,2,win via score
5363,2,win via score
5364,0,win via score
5365,1,win via score
5366,2,win via score
5367,1,win via score
5368,1,win via score
5369,0,win via score
5370,1,win via score
5371,0,win via score
5372,0,win via score
5373,3,win via score
5374,2,win via score
5375,1,win via score
5376,0,win via score
5377,1,win via score
5378,2,win via score
5379,0,win via score
5380,1,win via score
5381,2,win via score
5382,3,win via score
5383,2,win via score
5384,1,win via score
5385,3,win via score
5386,0,win via score
5387,0,win via score
5388,0,win via score
5389,2,win via score
5390,2,win via score
5391,1,win via score
5392,2,win via score
5393,0,win via score
5394,2,win via score
5395,2,win via score
5396,0,win via score
5397,0,win via score
5398,2,win via score
5399,1,win via score
5400,1,win via score
5401,0,win via score
5402,3,win via score
5403,2,win via score
5404,0,win via score
5405,2,win via score
5406,0,win via score
5407,0,win via score
5408,0,win via score
5409,1,win via score
5410,1,win via score
5411,0,win via score
5412,2,win via score
5413,3,win via score
5414,0,win via score
5415,0,win via score
5416,2,win via score
5417,0,win via elim
5418,1,win via score
5419,0,win via score
5420,1,win via score
5421,3,win via score
5422,2,win via score
5423,2,win via score
5424,0,win via score
5425,3,win via score
5426,1,win via score
5427,1,win via score
5428,2,win via score
5429,1,win via score
5430,1,win via score
5431,1,win via score
5432,2,win via score
5433,1,win via score
5434,0,win via score
5435,2,win via score
5436,1,win via score
5437,2,win via score
5438,3,win via score
5439,1,win via score
5440,3,win via elim
5441,2,win via score
5442,3,win via score
5443,1,win via score
5444,2,win via score
5445,0,win via score
5446,1,win via score
5447,0,win via score
5448,1,win via score
5449,1,win via score
5450,0,win via score
5451,1,win via score
5452,2,win via score
5453,3,win via score
5454,2,win via elim
5455,2,win via score
5456,0,win via score
5457,3,win via score
5458,0,win via score
5459,1,win via score
5460,3,win via score
5461,2,win via score
5462,2,win via score
5463,1,win via score
5464,3,win via score
5465,2,win via score
5466,2,win via score
5467,1,win via score
5468,2,win via score
5469,3,win via score
5470,1,win via score
5471,3,win via score
5472,1,win via score
5473,2,win via score
5474,2,win via score
5475,2,win via score
5476,2,win via score
5477,2,win via score
5478,0,win via score
5479,3,win via score
5480,0,win via score
5481,1,win via score
5482,0,win via score
5483,2,win via score
5484,0,win via score
5485,0,win via score
5486,3,win via score
5487,1,win via score
5488,1,win via score
5489,3,win via score
5490,0,win via elim
5491,2,win via score
5492,1,win via score
5493,1,win via score
5494,0,win via score
5495,0,win via score
5496,0,win via score
5497,0,win via score
5498,3,win via score
5499,0,win via score
5500,3,win via score
5501,3,win via score
5502,0,win via score
5503,2,win via score
5504,2,win via score
5505,0,win via score
5506,2,win via score
5507,0,win via score
5508,2,win via score
5509,2,win via score
5510,1,win via score
5511,1,win via score
5512,2,win via score
5513,2,win via elim
5514,0,win via score
5515,3,win via score
5516,2,win via score
5517,2,win via score
5518,1,win via score
5519,3,win via score
5520,1,win via elim
5521,2,win via score
5522,1,win via score
5523,0,win via score
5524,2,win via score
5525,2,win via score
5526,2,win via score
5527,1,win via score
5528,2,win via score
5529,0,win via score
5530,1,win via score
5531,0,win via score
5532,1,win via score
5533,1,win via score
5534,2,win via score
5535,1,win via score
5536,2,win via score
5537,1,win via score
5538,1,win via score
5539,2,win via score
5540,1,win via score
5541,1,win via score
5542,0,win via score
5543,2,win via score
5544,1,win via score
5545,3,win via score
5546,3,win via score
5547,2,win via score
5548,2,win via score
5549,2,win via score
5550,2,win via score
5551,1,win via score
5552,3,win via score
5553,2,win via score
5554,0,win via score
5555,1,win via score
5556,1,win via score
5557,2,win via score
5558,3,win via score
5559,3,win via score
5560,1,win via score
5561,1,win via score
5562,2,win via score
5563,2,win via score
5564,2,win via score
5565,3,win via score
5566,3,win via score
5567,3,win via score
5568,1,win via score
5569,2,win via score
5570,2,win via score
5571,3,win via score
5572,3,win via score
5573,1,win via score
5574,3,win via score
5575,2,win via score
5576,1,win via score
5577,3,win via score
5578,0,win via score
5579,0,win via score
5580,0,win via score
5581,1,win via score
5582,3,win via score
5583,1,win via score
5584,0,win via score
5585,1,win via elim
5586,0,win via score
5587,2,win via score
5588,1,win via score
5589,2,win via score
5590,2,win via score
5591,0,win via score
5592,1,win via score
5593,2,win via score
5594,0,win via score
5595,3,win via score
5596,2,win via score
5597,2,win via score
5598,0,win via score
5599,2,win via score
5600,2,win via score
5601,2,win via score
5602,0,win via score
5603,3,win via score
5604,1,win via score
5605,0,win via score
5606,0,win via score
5607,2,win via score
5608,3,win via elim
5609,1,win via score
5610,1,win via score
5611,2,win via score
5612,0,win via score
5613,2,win via score
5614,2,win via score
5615,1,win via score
5616,1,win via score
5617,1,win via score
5618,2,win via score
5619,3,win via score
5620,3,win via score
5621,3,win via score
5622,1,win via score
5623,0,win via score
5624,1,win via score
5625,3,win via score
5626,1,win via score
5627,0,win via elim
5628,2,win via score
5629,0,win via score
5630,0,win via score
5631,1,win via score
5632,2,win via score
5633,0,win via score
5634,0,win via score
5635,2,win via score
5636,2,win via score
5637,2,win via score
5638,2,win via score
5639,2,win via score
5640,0,win via score
5641,3,win via score
5642,2,win via score
5643,3,win via score
5644,0,win via score
5645,0,win via score
5646,2,win via score
5647,2,win via score
5648,3,win via score
5649,2,win via score
5650,3,win via score
5651,0,win via score
5652,3,win via score
5653,1,win via score
5654,1,win via score
5655,0,win via score
5656,2,win via score
5657,2,win via score
5658,1,win via score
5659,3,win via score
5660,2,win via score
5661,3,win via score
5662,0,win via score
5663,1,win via score
5664,2,win via score
5665,0,win via elim
5666,3,win via score
5667,3,win via score
5668,0,win via score
5669,1,win via score
5670,3,win via score
5671,2,win via elim
5672,0,win via score
5673,1,win via score
5674,2,win via score
5675,3,win via score
5676,3,win via score
5677,2,win via score
5678,1,win via score
5679,2,win via score
5680,2,win via score
5681,0,win via score
5682,3,win via score
5683,3,win via score
5684,3,win via score
5685,1,win via score
5686,0,win via score
5687,0,win via score
5688,1,win via score
5689,1,win via score
5690,1,win via score
5691,0,win via score
5692,3,win via score
5693,3,win via score
5694,0,win via score
5695,2,win via score
5696,1,win via score
5697,3,win via score
5698,0,win via score
5699,1,win via score
5700,3,win via score
5701,1,win via score
5702,0,win via score
5703,3,win via score
5704,3,win via score
5705,0,win via score
5706,2,win via score
5707,0,win via score
5708,2,win via score
5709,3,win via score
5710,1,win via score
5711,0,win via score
5712,1,win via score
5713,2,win via score
5714,1,win via score
5715,0,win via score
5716,2,win via score
5717,1,win via score
5718,0,win via score
5719,2,win via score
5720,2,win via score
5721,1,win via score
5722,2,win via score
5723,3,win via score
5724,2,win via score
5725,0,win via score
5726,1,win via score
5727,3,win via score
5728,0,win via score
5729,0,win via score
5730,3,win via score
5731,0,win via score
5732,1,win via score
5733,1,win via score
5734,2,win via score
5735,0,win via score
5736,3,win via score
5737,0,win via score
5738,0,win via score
5739,0,win via score
5740,2,win via elim
5741,3,win via score
5742,3,win via score
5743,2,win via score
5744,1,win via score
5745,2,win via score
5746,3,win via score
5747,3,win via score
5748,1,win via score
5749,1,win via score
5750,0,win via score
5751,0,win via score
5752,1,win via score
5753,3,win via score
5754,2,win via score
5755,3,win via score
5756,2,win via score
5757,3,win via elim
5758,3,win via score
5759,0,win via score
5760,2,win via score
5761,1,win via score
5762,2,win via score
5763,0,win via score
5764,1,win via score
5765,2,win via score
5766,1,win via score
5767,1,win via score
5768,1,win via score
5769,0,win via score
5770,2,win via score
5771,1,win via score
5772,1,win via score
5773,3,win via score
5774,3,win via score
5775,3,win via score
5776,1,win via score
5777,0,win via score
5778,2,win via score
5779,0,win via score
5780,2,win via score
5781,0,win via score
5782,2,win via score
5783,2,win via score
5784,0,win via score
5785,2,win via score
5786,0,win via score
5787,3,win via score
5788,1,win via score
5789,2,win via score
5790,1,win via score
5791,2,win via score
5792,2,win via score
5793,0,win via score
5794,1,win via score
5795,0,win via score
5796,1,win via score
5797,0,win via score
5798,3,win via score
5799,0,win via score
5800,1,win via score
5801,0,win via score
5802,1,win via elim
5803,1,win via score
5804,1,win via score
5805,1,win via score
5806,0,win via score
5807,3,win via score
5808,3,win via score
5809,1,win via score
5810,1,win via score
5811,0,win via score
5812,3,win via score
5813,2,win via score
5814,0,win via score
5815,3,win via score
5816,3,win via score
5817,1,win via score
5818,2,win via score
5819,2,win via score
5820,0,win via score
5821,3,win via score
5822,0,win via score
5823,3,win via score
5824,3,win via score
5825,0,win via score
5826,0,win via score
5827,0,win via score
5828,3,win via score
5829,2,win via score
5830,1,win via score
5831,3,win via score
5832,2,win via score
5833,1,win via elim
5834,3,win via score
5835,2,win via score
5836,0,win via score
5837,2,win via score
5838,2,win via score
5839,2,win via score
5840,0,win via score
5841,2,win via score
5842,2,win via score
5843,1,win via elim
5844,3,win via score
5845,1,win via score
5846,2,win via score
5847,0,win via score
5848,1,win via score
5849,3,win via score
5850,0,win via score
5851,3,win via score
5852,2,win via score
5853,2,win via score
5854,3,win via score
5855,3,win via elim
5856,3,win via score
5857,0,win via score
5858,2,win via score
5859,3,win via score
5860,1,win via score
5861,3,win via elim
5862,3,win via score
5863,1,win via score
5864,2,win via score
5865,0,win via score
5866,1,win via score
5867,2,win via score
5868,0,win via score
5869,0,win via score
5870,0,win via score
5871,2,win via score
5872,1,win via score
5873,1,win via score
5874,1,win via score
5875,2,win via score
5876,1,win via score
5877,1,win via score
5878,0,win via score
5879,3,win via score
5880,0,win via score
5881,3,win via elim
5882,2,win via score
5883,1,win via score
5884,0,win via score
5885,2,win via score
5886,1,win via score
5887,2,win via score
5888,1,win via score
5889,3,win via score
5890,0,win via score
5891,0,win via score
5892,1,win via score
5893,0,win via score
5894,3,win via score
5895,2,win via score
5896,0,win via score
5897,2,win via score
5898,1,win via elim
5899,2,win via score
5900,1,win via score
5901,1,win via score
5902,2,win via score
5903,2,win via score
5904,0,win via score
5905,1,win via score
5906,2,win via score
5907,2,win via score
5908,3,win via score
5909,1,win via score
5910,1,win via score
5911,3,win via score
5912,3,win via score
5913,2,win via elim
5914,2,win via score
5915,3,win via score
5916,2,win via score
5917,3,win via score
5918,3,win via score
5919,0,win via score
5920,1,win via score
5921,1,win via score
5922,3,win via score
5923,0,win via score
5924,2,win via score
5925,2,win via score
5926,0,win via score
5927,2,win via score
5928,3,win via score
5929,1,win via score
5930,1,win via score
5931,3,win via score
5932,3,win via score
5933,0,win via score
5934,0,win via score
5935,1,win via score
5936,1,win via score
5937,0,win via score
5938,1,win via score
5939,0,win via score
5940,1,win via score
5941,0,win via score
5942,2,win via score
5943,2,win via score
5944,2,win via score
5945,1,win via score
5946,3,win via score
5947,2,win via score
5948,0,win via score
5949,1,win via score
5950,0,win via score
5951,3,win via score
5952,3,win via score
5953,0,win via score
5954,3,win via score
5955,2,win via score
5956,3,win via score
5957,0,win via score
5958,3,win via score
5959,0,win via score
5960,1,win via score
5961,2,win via elim
5962,1,win via score
5963,0,win via score
5964,2,win via score
5965,2,win via score
5966,2,win via score
5967,0,win via score
5968,2,win via score
5969,2,win via score
5970,2,win via score
5971,2,win via score
5972,3,win via elim
5973,1,win via score
5974,2,win via score
5975,2,win via score
5976,2,win via score
5977,2,win via score
5978,3,win via score
5979,3,win via score
5980,1,win via score
5981,3,win via score
5982,1,win via score
5983,2,win via score
5984,3,win via score
5985,1,win via score
5986,3,win via score
5987,1,win via score
5988,2,win via score
5989,1,win via score
5990,2,win via score
5991,3,win via score
5992,0,win via score
5993,0,win via score
5994,2,win via score
5995,2,win via score
5996,2,win via score
5997,0,win via score
5998,1,win via score
5999,1,win via score
6000,3,win via score
6001,0,win via score
6002,3,win via score
6003,3,win via score
6004,0,win via score
6005,2,win via score
6006,0,win via score
6007,1,win via score
6008,0,win via score
6009,0,win via score
6010,1,win via score
6011,2,win via score
6012,3,win via score
6013,0,win via score
6014,2,win via score
6015,1,win via score
6016,2,win via score
6017,2,win via score
6018,2,win via score
6019,3,win via score
6020,1,win via score
6021,1,win via elim
6022,1,win via score
6023,0,win via score
6024,2,win via score
6025,0,win via score
6026,0,win via score
6027,3,win via elim
6028,0,win via score
6029,0,win via score
6030,0,win via score
6031,2,win via score
6032,0,win via score
6033,3,win via score
6034,0,win via score
6035,2,win via score
6036,1,win via score
6037,1,win via score
6038,1,win via score
6039,2,win via score
6040,1,win via score
6041,3,win via score
6042,3,win via score
6043,0,win via score
6044,2,win via score
6045,1,win via score
6046,2,win via score
6047,1,win via score
6048,0,win via score
6049,3,win via elim
6050,3,win via score
6051,1,win via score
6052,3,win via elim
6053,3,win via score
6054,1,win via score
6055,0,win via score
6056,0,win via score
6057,2,win via score
6058,2,win via score
6059,0,win via score
6060,0,win via score
6061,0,win via score
6062,2,win via score
6063,3,win via score
6064,1,win via score
6065,2,win via score
6066,2,win via score
6067,1,win via score
6068,3,win via score
6069,1,win via score
6070,1,win via score
6071,0,win via score
6072,2,win via score
6073,0,win via score
6074,0,win via score
6075,1,win via score
6076,3,win via score
6077,3,win via elim
6078,3,win via score
6079,3,win via score
6080,1,win via score
6081,1,win via score
6082,0,win via score
6083,2,win via score
6084,2,win via score
6085,2,win via score
6086,3,win via score
6087,3,win via score
6088,3,win via score
6089,0,win via score
6090,3,win via score
6091,2,win via score
6092,1,win via score
6093,2,win via elim
6094,3,win via score
6095,0,win via score
6096,2,win via score
6097,3,win via score
6098,3,win via score
6099,0,win via score
6100,1,win via score
6101,3,win via score
6102,3,win via score
6103,3,win via score
6104,0,win via score
6105,3,win via score
6106,0,win via score
6107,2,win via score
6108,3,win via score
6109,1,win via score
6110,3,win via score
6111,2,win via score
6112,2,win via score
6113,0,win via score
6114,3,win via score
6115,2,win via score
6116,3,win via score
6117,2,win via score
6118,1,win via score
6119,2,win via score
6120,1,win via score
6121,3,win via score
6122,1,win via elim
6123,1,win via score
6124,0,win via score
6125,3,win via score
6126,3,win via score
6127,3,win via score
6128,0,win via score
6129,2,win via score
6130,1,win via score
6131,2,win via score
6132,0,win via score
6133,2,win via score
6134,3,win via score
6135,2,win via score
6136,2,win via score
6137,2,win via score
6138,0,win via score
6139,1,win via score
6140,2,win via score
6141,2,win via score
6142,3,win via score
6143,0,win via score
6144,2,win via score
6145,2,win via score
6146,1,win via score
6147,0,win via score
6148,3,win via score
6149,2,win via score
6150,2,win via score
6151,1,win via score
6152,3,win via score
6153,2,win via score
6154,0,win via score
6155,2,win via score
6156,0,win via score
6157,1,win via score
6158,1,win via score
6159,3,win via score
6160,3,win via score
6161,2,win via score
6162,3,win via score
6163,2,win via score
6164,2,win via score
6165,0,win via score
6166,3,win via score
6167,3,win via score
6168,2,win via score
6169,1,win via score
6170,1,win via score
6171,2,win via score
6172,3,win via score
6173,2,win via score
6174,2,win via score
6175,1,win via score
6176,0,win via score
6177,2,win via score
6178,2,win via score
6179,0,win via score
6180,3,win via score
6181,1,win via score
6182,2,win via score
6183,0,win via score
6184,0,win via score
6185,2,win via score
6186,1,win via score
6187,3,win via score
6188,1,win via score
6189,0,win via score
6190,0,win via score
6191,3,win via score
6192,0,win via score
6193,0,win via score
6194,3,win via score
6195,3,win via score
6196,1,win via score
6197,0,win via score
6198,3,win via score
6199,3,win via score
6200,2,win via score
6201,3,win via score
6202,0,win via score
6203,3,win via score
6204,1,win via score
6205,3,win via score
6206,1,win via elim
6207,1,win via score
6208,3,win via score
6209,3,win via elim
6210,1,win via score
6211,0,win via score
6212,0,win via score
6213,3,win via score
6214,2,win via score
6215,1,win via score
6216,1,win via elim
6217,0,win via score
6218,0,win via score
6219,0,win via score
6220,0,win via score
6221,3,win via score
6222,3,win via score
6223,3,win via score
6224,1,win via score
6225,3,win via score
6226,0,win via score
6227,2,win via score
6228,0,win via score
6229,3,win via score
6230,3,win via score
6231,2,win via score
6232,3,win via score
6233,3,win via score
6234,2,win via score
6235,0,win via score
6236,0,win via score
6237,1,win via score
6238,1,win via score
6239,2,win via score
6240,0,win via score
6241,0,win via score
6242,1,win via score
6243,3,win via score
6244,1,win via score
6245,3,win via score
6246,1,win via score
6247,1,win via score
6248,2,win via score
6249,0,win via score
6250,1,win via score
6251,0,win via score
6252,0,win via score
6253,2,win via score
6254,2,win via score
6255,3,win via score
6256,2,win via score
6257,0,win via score
6258,2,win via score
6259,2,win via score
6260,3,win via score
6261,2,win via score
6262,3,win via elim
6263,0,win via score
6264,0,win via elim
6265,3,win via score
6266,0,win via score
6267,1,win via score
6268,2,win via score
6269,2,win via score
6270,2,win via score
6271,2,win via score
6272,3,win via elim
6273,2,win via score
6274,0,win via score
6275,3,win via score
6276,2,win via score
6277,1,win via score
6278,2,win via score
6279,2,win via score
6280,1,win via score
6281,1,win via score
6282,1,win via score
6283,3,win via score
6284,1,win via score
6285,0,win via score
6286,2,win via score
6287,3,win via score
6288,0,win via score
6289,3,win via score
6290,0,win via elim
6291,3,win via score
6292,1,win via score
6293,0,win via score
6294,1,win via score
6295,2,win via score
6296,0,win via score
6297,0,win via score
6298,2,win via score
6299,1,win via score
6300,2,win via score
6301,0,win via score
6302,2,win via score
6303,0,win via score
6304,2,win via score
6305,0,win via score
6306,0,win via score
6307,0,win via score
6308,3,win via elim
6309,2,win via score
6310,0,win via score
6311,0,win via score
6312,2,win via score
6313,1,win via score
6314,1,win via score
6315,3,win via score
6316,2,win via score
6317,1,win via score
6318,3,win via score
6319,3,win via score
6320,3,win via score
6321,3,win via score
6322,2,win via score
6323,1,win via score
6324,0,win via score
6325,3,win via score
6326,0,win via elim
6327,3,win via score
6328,0,win via score
6329,3,win via elim
6330,1,win via score
6331,0,win via score
6332,0,win via score
6333,0,win via score
6334,3,win via score
6335,1,win via score
6336,3,win via score
6337,2,win via score
6338,1,win via score
6339,3,win via elim
6340,0,win via score
6341,0,win via score
6342,2,win via score
6343,1,win via score
6344,1,win via score
6345,3,win via score
6346,3,win via score
6347,3,win via score
6348,3,win via score
6349,3,win via score
6350,2,win via score
6351,1,win via score
6352,2,win via score
6353,3,win via score
6354,2,win via score
6355,2,win via elim
6356,1,win via score
6357,3,win via score
6358,0,win via score
6359,0,win via score
6360,2,win via score
6361,3,win via elim
6362,0,win via score
6363,1,win via score
6364,2,win via score
6365,1,win via score
6366,3,win via score
6367,2,win via score
6368,2,win via score
6369,3,win via score
6370,1,win via score
6371,3,win via score
6372,1,win via score
6373,0,win via score
6374,1,win via score
6375,3,win via score
6376,3,win via score
6377,1,win via score
6378,0,win via score
6379,0,win via score
6380,2,win via score
6381,0,win via score
6382,3,win via score
6383,3,win via score
6384,3,win via score
6385,2,win via score
6386,1,win via score
6387,0,win via score
6388,1,win via score
6389,1,win via score
6390,0,win via score
6391,2,win via score
6392,2,win via elim
6393,2,win via score
6394,2,win via score
6395,2,win via score
6396,3,win via score
6397,2,win via score
6398,2,win via score
6399,3,win via score
6400,0,win via score
6401,3,win via score
6402,1,win via score
6403,2,win via score
6404,2,win via score
6405,1,win via score
6406,3,win via score
6407,2,win via score
6408,3,win via score
6409,1,win via score
6410,0,win via score
6411,2,win via score
6412,0,win via score
6413,2,win via score
6414,2,win via score
6415,0,win via score
6416,3,win via score
6417,3,win via score
6418,3,win via score
6419,0,win via score
6420,2,win via score
6421,0,win via score
6422,0,win via score
6423,3,win via score
6424,2,win via score
6425,3,win via score
6426,3,win via score
6427,0,win via score
6428,0,win via score
6429,2,win via score
6430,0,win via score
6431,3,win via score
6432,1,win via score
6433,1,win via score
6434,2,win via score
6435,1,win via score
6436,3,win via score
6437,3,win via score
6438,2,win via score
6439,1,win via score
6440,3,win via score
6441,2,win via score
6442,3,win via score
6443,3,win via score
6444,0,win via score
6445,1,win via elim
6446,1,win via score
6447,2,win via score
6448,3,win via score
6449,0,win via score
6450,3,win via score
6451,0,win via score
6452,1,win via score
6453,3,win via score
6454,0,win via score
6455,0,win via score
6456,2,win via score
6457,3,win via score
6458,2,win via score
