,eps_num,w_diff,result
303,303.0,4.197562919976059e+109,0.0
304,304.0,2.1319845777602395e+111,attempt loss
305,305.0,1.4522993915453552e+112,attempt loss
306,306.0,1.2407399353491575e+111,other player no skull
307,307.0,9.84615077490635e+111,other player no skull
308,308.0,6.03748509726296e+112,other player no skull
309,309.0,4.798063274911723e+113,other player no skull
310,310.0,5.724704095774669e+112,attempt won
311,311.0,1.2267130291491723e+113,other player no skull
312,312.0,3.3632230690064946e+113,attempt loss
313,313.0,1.6823884376970022e+114,other player no skull
314,314.0,5.377994865002517e+114,other player no skull
315,315.0,3.5390361987610685e+114,0.0
316,316.0,1.0617108596283192e+115,other player no skull
317,317.0,1.2986408939299677e+114,0.0
318,318.0,2.4305398628628996e+115,attempt loss
319,319.0,2.065958883433465e+116,other player skull
320,320.0,8.44391712951055e+115,other player no skull
321,321.0,5.153088087315958e+116,other player no skull
322,322.0,1.1905327944064466e+117,other player no skull
323,323.0,6.469731594410326e+117,other player skull
324,324.0,5.127092305693356e+116,0.0
325,325.0,1.0336494026989159e+116,other player no skull
326,326.0,1.564878251778803e+116,other player no skull
327,327.0,5.477073881225811e+116,other player no skull
328,328.0,1.3021446567849456e+117,other player no skull
329,329.0,5.056469768711431e+117,other player skull
330,330.0,3.6741047906820624e+118,other player no skull
331,331.0,3.8611299492985766e+119,other player skull
332,332.0,3.881838956646196e+118,other player skull
333,333.0,8.24496289694344e+119,other player skull
334,334.0,2.5452014566579432e+120,other player skull
335,335.0,2.0328985310846757e+121,other player skull
336,336.0,3.9690591569182544e+120,other player no skull
337,337.0,2.587856210816303e+119,0.0
338,338.0,4.0407672533951872e+121,attempt loss
339,339.0,1.873214048883386e+122,other player no skull
340,340.0,1.302359688353469e+123,other player skull
341,341.0,9.245498098727468e+121,0.0
342,342.0,2.0409690338963888e+123,attempt loss
343,343.0,1.7879072864289824e+124,other player skull
344,344.0,2.3249162124082575e+124,other player skull
345,345.0,1.5312455641597475e+125,other player no skull
346,346.0,2.927070143932412e+124,0.0
347,347.0,1.1220320575594561e+126,other player skull
348,348.0,3.126999311913329e+126,attempt loss
349,349.0,3.292804941173399e+125,0.0
350,350.0,5.607046309272326e+126,other player no skull
351,351.0,1.5501997282892751e+127,other player no skull
352,352.0,6.823765603340313e+126,other player no skull
353,353.0,2.9779380542998143e+127,0.0
354,354.0,8.985783856770441e+128,other player no skull
