,player type,player,result
206,"smart 2: 0, 0.4",1,self lose challange
207,approx q learning,0,turned flower
208,approx q learning,0,turned flower
209,approx q learning,0,turned flower
210,approx q learning,0,turned flower
211,approx q learning,0,win challange
212,approx q learning,0,self lose challange
213,approx q learning,0,turned flower
214,approx q learning,0,lose game
215,"smart 2: 2, 0.6",2,turned flower
216,"smart 2: 2, 0.6",2,self lose challange
217,"smart 2: 0, 0.4",1,turned flower
218,"smart 2: 0, 0.4",1,turned flower
219,"smart 2: 0, 0.4",1,win challange
220,"smart 2: 2, 0.6",2,self lose challange
221,"smart 2: 0, 0.4",1,self lose challange
222,"smart 2: 2, 0.6",2,turned flower
223,"smart 2: 2, 0.6",2,win challange
224,"smart 2: 0, 0.6",3,self lose challange
225,"smart 2: 0, 0.4",1,turned flower
226,"smart 2: 0, 0.4",1,lose challange
227,"smart 2: 0, 0.6",3,self lose challange
228,"smart 2: 2, 0.6",2,turned flower
229,"smart 2: 2, 0.6",2,lose challange
230,"smart 2: 0, 0.4",1,self lose game
231,"smart 2: 2, 0.6",2,self lose game
232,"smart 2: 0, 0.6",3,self lose challange
233,"smart 2: 0, 0.6",3,self lose challange
234,"smart 2: 0, 0.4",1,self lose challange
235,"smart 2: 0, 0.4",1,self lose challange
236,"smart 2: 0, 0.4",1,turned flower
237,"smart 2: 0, 0.4",1,lose challange
238,approx q learning,0,self lose challange
239,"smart 2: 0, 0.6",3,turned flower
240,"smart 2: 0, 0.6",3,turned flower
241,"smart 2: 0, 0.6",3,lose challange
242,"smart 2: 2, 0.6",2,self lose challange
243,"smart 2: 0, 0.4",1,turned flower
244,"smart 2: 0, 0.4",1,turned flower
245,"smart 2: 0, 0.4",1,lose game
246,approx q learning,0,self lose challange
247,approx q learning,0,turned flower
248,approx q learning,0,turned flower
249,approx q learning,0,lose challange
250,"smart 2: 0, 0.6",3,self lose game
251,"smart 2: 2, 0.6",2,self lose challange
252,approx q learning,0,turned flower
253,approx q learning,0,lose game
254,approx q learning,0,turned flower
255,approx q learning,0,turned flower
256,approx q learning,0,turned flower
257,approx q learning,0,turned flower
258,approx q learning,0,lose challange
259,approx q learning,0,turned flower
260,approx q learning,0,turned flower
261,approx q learning,0,turned flower
262,approx q learning,0,lose challange
263,"smart 2: 0, 0.4",1,self lose challange
264,"smart 2: 0, 0.4",1,turned flower
265,"smart 2: 0, 0.4",1,lose challange
266,approx q learning,0,turned flower
267,approx q learning,0,turned flower
268,approx q learning,0,lose challange
269,approx q learning,0,turned flower
270,approx q learning,0,lose game
271,"smart 2: 0, 0.4",1,self lose challange
272,"smart 2: 0, 0.4",1,turned flower
273,"smart 2: 0, 0.4",1,lose game
274,"smart 2: 2, 0.6",2,self lose challange
275,"smart 2: 2, 0.6",2,win challange
276,"smart 2: 2, 0.6",2,turned flower
277,"smart 2: 2, 0.6",2,win challange
278,"smart 2: 0, 0.4",1,self lose challange
279,approx q learning,0,self lose challange
280,"smart 2: 0, 0.4",1,self lose challange
281,"smart 2: 0, 0.4",1,self lose challange
282,"smart 2: 2, 0.6",2,self lose challange
283,"smart 2: 2, 0.6",2,turned flower
284,"smart 2: 2, 0.6",2,turned flower
285,"smart 2: 2, 0.6",2,turned flower
286,"smart 2: 2, 0.6",2,lose challange
287,"smart 2: 0, 0.4",1,turned flower
288,"smart 2: 0, 0.4",1,turned flower
289,"smart 2: 0, 0.4",1,turned flower
290,"smart 2: 0, 0.4",1,lose game
291,approx q learning,0,self lose challange
292,approx q learning,0,turned flower
293,approx q learning,0,self lose challange
294,approx q learning,0,turned flower
295,approx q learning,0,turned flower
296,approx q learning,0,win challange
297,approx q learning,0,turned flower
298,approx q learning,0,turned flower
299,approx q learning,0,win challange
300,"smart 2: 0, 0.6",3,self lose challange
301,approx q learning,0,turned flower
302,approx q learning,0,turned flower
303,approx q learning,0,turned flower
304,approx q learning,0,win challange
305,"smart 2: 0, 0.6",3,turned flower
306,"smart 2: 0, 0.6",3,turned flower
307,"smart 2: 0, 0.6",3,turned flower
308,"smart 2: 0, 0.6",3,win challange
309,"smart 2: 0, 0.6",3,self lose challange
310,"smart 2: 0, 0.6",3,turned flower
311,"smart 2: 0, 0.6",3,lose challange
312,approx q learning,0,self lose challange
313,approx q learning,0,self lose challange
314,"smart 2: 0, 0.4",1,self lose challange
315,approx q learning,0,self lose challange
316,"smart 2: 0, 0.4",1,turned flower
317,"smart 2: 0, 0.4",1,turned flower
318,"smart 2: 0, 0.4",1,turned flower
319,"smart 2: 0, 0.4",1,win challange
320,approx q learning,0,turned flower
321,approx q learning,0,turned flower
322,approx q learning,0,turned flower
323,approx q learning,0,win challange
324,approx q learning,0,self lose challange
325,"smart 2: 0, 0.6",3,self lose challange
326,approx q learning,0,turned flower
327,approx q learning,0,self lose challange
328,"smart 2: 0, 0.4",1,self lose challange
329,approx q learning,0,self lose challange
330,approx q learning,0,turned flower
331,approx q learning,0,turned flower
332,approx q learning,0,lose game
333,"smart 2: 0, 0.4",1,turned flower
334,"smart 2: 0, 0.4",1,lose challange
335,"smart 2: 0, 0.6",3,self lose challange
