,player_type,player,result
0,"smart 2: 0, 0.4",1,win via score
1,"smart 2: 0, 0.4",1,win via score
2,approx q learning,0,win via score
3,"smart 2: 0, 0.6",3,win via score
4,"smart 2: 0, 0.4",1,win via score
5,"smart 2: 2, 0.6",2,win via score
6,"smart 2: 0, 0.6",3,win via score
7,"smart 2: 0, 0.6",3,win via elim
8,"smart 2: 0, 0.6",3,win via elim
9,"smart 2: 2, 0.6",2,win via elim
10,"smart 2: 2, 0.6",2,win via score
11,approx q learning,0,win via score
12,approx q learning,0,win via score
13,"smart 2: 2, 0.6",2,win via score
14,"smart 2: 0, 0.4",1,win via score
15,"smart 2: 0, 0.4",1,win via score
16,"smart 2: 2, 0.6",2,win via score
17,"smart 2: 2, 0.6",2,win via score
18,"smart 2: 2, 0.6",2,win via score
19,"smart 2: 0, 0.6",3,win via score
20,"smart 2: 0, 0.6",3,win via score
21,"smart 2: 0, 0.4",1,win via score
22,"smart 2: 0, 0.6",3,win via score
23,"smart 2: 0, 0.4",1,win via score
24,"smart 2: 0, 0.4",1,win via score
25,"smart 2: 0, 0.4",1,win via score
26,"smart 2: 0, 0.6",3,win via score
27,"smart 2: 0, 0.4",1,win via score
28,"smart 2: 0, 0.4",1,win via score
29,"smart 2: 2, 0.6",2,win via score
30,"smart 2: 2, 0.6",2,win via score
31,"smart 2: 0, 0.6",3,win via elim
32,"smart 2: 0, 0.4",1,win via score
33,"smart 2: 0, 0.6",3,win via score
34,"smart 2: 0, 0.6",3,win via score
35,"smart 2: 2, 0.6",2,win via score
36,"smart 2: 0, 0.6",3,win via score
37,"smart 2: 0, 0.6",3,win via score
38,"smart 2: 2, 0.6",2,win via score
39,"smart 2: 2, 0.6",2,win via score
40,"smart 2: 2, 0.6",2,win via score
41,"smart 2: 0, 0.6",3,win via score
42,"smart 2: 0, 0.6",3,win via score
43,"smart 2: 0, 0.4",1,win via score
44,"smart 2: 0, 0.4",1,win via score
45,approx q learning,0,win via score
46,"smart 2: 2, 0.6",2,win via elim
47,"smart 2: 0, 0.4",1,win via score
48,"smart 2: 2, 0.6",2,win via score
49,"smart 2: 0, 0.6",3,win via score
50,"smart 2: 0, 0.4",1,win via score
51,"smart 2: 2, 0.6",2,win via score
52,"smart 2: 0, 0.6",3,win via score
53,"smart 2: 2, 0.6",2,win via score
54,"smart 2: 0, 0.6",3,win via score
55,"smart 2: 0, 0.6",3,win via score
56,"smart 2: 2, 0.6",2,win via score
57,"smart 2: 0, 0.4",1,win via score
58,"smart 2: 0, 0.4",1,win via score
59,"smart 2: 0, 0.6",3,win via score
60,approx q learning,0,win via score
61,"smart 2: 2, 0.6",2,win via score
62,approx q learning,0,win via score
63,"smart 2: 2, 0.6",2,win via score
64,"smart 2: 0, 0.4",1,win via score
65,"smart 2: 2, 0.6",2,win via score
66,"smart 2: 0, 0.4",1,win via elim
67,"smart 2: 2, 0.6",2,win via score
68,"smart 2: 0, 0.6",3,win via score
69,approx q learning,0,win via score
70,"smart 2: 2, 0.6",2,win via score
71,"smart 2: 0, 0.6",3,win via elim
72,"smart 2: 2, 0.6",2,win via score
73,approx q learning,0,win via score
74,"smart 2: 2, 0.6",2,win via score
75,"smart 2: 2, 0.6",2,win via score
76,"smart 2: 0, 0.6",3,win via score
77,"smart 2: 2, 0.6",2,win via score
78,"smart 2: 2, 0.6",2,win via score
79,"smart 2: 0, 0.6",3,win via score
80,"smart 2: 0, 0.4",1,win via score
81,"smart 2: 0, 0.6",3,win via score
82,approx q learning,0,win via score
83,"smart 2: 0, 0.4",1,win via score
84,"smart 2: 2, 0.6",2,win via score
85,"smart 2: 0, 0.6",3,win via score
86,"smart 2: 2, 0.6",2,win via score
87,"smart 2: 0, 0.6",3,win via score
88,"smart 2: 2, 0.6",2,win via score
89,"smart 2: 2, 0.6",2,win via score
90,"smart 2: 0, 0.6",3,win via score
91,"smart 2: 2, 0.6",2,win via score
92,"smart 2: 0, 0.4",1,win via score
93,"smart 2: 0, 0.6",3,win via score
94,approx q learning,0,win via score
95,approx q learning,0,win via score
96,"smart 2: 0, 0.6",3,win via score
97,"smart 2: 0, 0.6",3,win via elim
98,"smart 2: 0, 0.6",3,win via score
99,"smart 2: 0, 0.6",3,win via score
100,"smart 2: 0, 0.4",1,win via score
101,"smart 2: 0, 0.4",1,win via score
102,approx q learning,0,win via score
103,"smart 2: 0, 0.6",3,win via elim
104,"smart 2: 0, 0.6",3,win via elim
105,"smart 2: 0, 0.4",1,win via score
106,"smart 2: 2, 0.6",2,win via score
107,"smart 2: 2, 0.6",2,win via elim
108,"smart 2: 2, 0.6",2,win via score
109,"smart 2: 0, 0.6",3,win via score
110,"smart 2: 2, 0.6",2,win via score
111,"smart 2: 0, 0.6",3,win via score
112,"smart 2: 0, 0.4",1,win via score
113,"smart 2: 2, 0.6",2,win via score
114,"smart 2: 0, 0.6",3,win via score
115,"smart 2: 2, 0.6",2,win via score
116,"smart 2: 2, 0.6",2,win via score
117,approx q learning,0,win via score
118,"smart 2: 0, 0.4",1,win via score
119,"smart 2: 0, 0.4",1,win via score
120,"smart 2: 2, 0.6",2,win via score
121,"smart 2: 0, 0.6",3,win via score
